Customer	Product Name_Quote	Items
Longitude Ads	GCP Engineering Services	GCP Professional Services
Tactiq	GCP Engineering Services	GCP Professional Services
"Greater Oregon Behavioral Health, Inc. (GOBHI)"	Project Management Services	GCP Professional Services
Sunrise Motorsports	Google Workspace - Business Standard - Commit	Sunrise Motorsports - 12% Discount on GWS Business Standard
DocuSketch	Google Workspace Enterprise Standard Annual Monthly Plan (Monthly Payment)	Google Workspace - Business Starter - Commit
DocuSketch	Google Workspace Business Starter Annual Monthly Plan (Monthly Payment)	Google Workspace - Enterprise Standard - Commit
micro1	Google Workspace - Business Plus - Commit	Google Workspace - Business Standard - Commit
micro1	Google Workspace - Business Plus - Commit	Micro1 GWS Discount
Fora Travel	Google Cloud Platform Consumption or Spend - COMMITMENT PERIOD 1	Google Cloud Platform Consumption or Spend - FLEX
Fora Travel	Google Workspace Frontline Annual Monthly Plan (Monthly Payment)	Google Workspace - Archive User Enterprise Standard - Commit
Fora Travel	Google Workspace Frontline Annual Monthly Plan (Monthly Payment)	Google Workspace - Business Starter - Flex
Fora Travel	Google Workspace Enterprise Plus Annual Monthly Plan (Monthly Payment)	Google Workspace - Enterprise Plus - Commit
Fora Travel	Google Workspace Enterprise Standard Annual Monthly Plan (Monthly Payment)	Google Workspace - Enterprise Standard - Commit
Fora Travel	Google Workspace Frontline Annual Monthly Plan (Monthly Payment)	Google Workspace - Frontline Starter - Commit
Fora Travel	Duet AI for Google Workspace Annual Plan (Monthly Payment)	Google Workspace Gemini AI Enterprise
greyball.ai	GCP Engineering Services	GCP Professional Services
EnrollHere Inc	GCP Engineering Services	Velocity Staff Augmentation
Detmar Logistics LLC	Google Workspace - Enterprise Standard - Commit	Google Workspace - Enterprise Starter - Commit
DocuSketch	Google Workspace Business Starter Annual Monthly Plan (Monthly Payment)	Google Workspace - Business Starter - Commit
SimInsights	Google Workspace - Enterprise Plus - Commit	Google Workspace - Archive User Business Standard - Flex
Bright Arrow	GWS Premium Support (Commit)	GWS Premium Support
Secured Health	Afi Backup – Google Workspace / M365 – User License	Afi Backup ‚Äì Google Workspace / M365 ‚Äì User License
Secured Health	Google Workspace - Enterprise Standard - Commit	Gemini Enterprise Standard - Commit
Secured Health	Google Workspace - Enterprise Standard - Commit	Google Workspace - Business Plus - Flex
"Time Definite Services, Inc."	Data Migration + Workspace Deployment	Enterprise Implementation
Sunrise Motorsports	Google Deployment Voucher	Google DAF OR PSF - Fixed Rate Investment
KloudStax	GCP Complimentary Support (Flex)	Google Rebate - PIP and PIO
KloudStax	GCP Complimentary Support (Flex)	Google DAF OR PSF - Fixed Rate Investment
"eData Services US, LLC"	AI Development	Google DAF OR PSF - Fixed Rate Investment
Oak Essentials	Google Workspace Enterprise Essentials Flexible Plan (Monthly Payment)	Google Workspace - Enterprise Essentials - Flex
Couchsurfing	Google Cloud Platform Consumption or Spend - FLEX	Google Cloud Platform Consumption or Spend - COMMITMENT PERIOD 1
Longitude Ads	Google Cloud Platform Consumption or Spend - FLEX	ACH Discount
Kovaak	Google Cloud Platform Consumption or Spend - FLEX	ACH Discount
LootMogul	Google Workspace Business Standard Flexible Plan (Monthly Payment)	Google Workspace - Business Standard - Flex
Jenni Kayne	Google Workspace Enterprise Essentials Flexible Plan (Monthly Payment)	Google Workspace - Enterprise Essentials - Flex
Oloround	Google Cloud Platform Consumption or Spend - FLEX	Google Workspace - Business Starter - Flex